ID,UpperMode,LowerMode,MatchRate
1263.0,TG,TS,0.9271523178807948
1264.0,GSD,TS,0.9090909090909091
1269.0,GSD,GG,0.0
1271.0,TS,TG,0.9316770186335402
1287.0,TS,GSD,0.9090909090909091
1310.0,TS,TG,0.4678362573099415
1314.0,TG,TS,0.8695652173913043
1317.0,GSD,TS,0.9090909090909091
1321.0,TS,TG,0.7843137254901962
1335.0,TG,TS,0.8791208791208791
1337.0,GSD,TS,0.7317073170731708
1344.0,TS,TG,0.343087790110999
1346.0,TS,TG,0.9756097560975611
1348.0,GSD,GG,0.9090909090909092
1349.0,GSD,GG,0.7920792079207921
1370.0,GSD,GG,0.9859154929577465
1371.0,TS,GG,0.8641975308641976
1372.0,GSD,GG,0.0
1384.0,GSD,GG,0.617283950617284
1393.0,GSD,GG,0.14084507042253522
1396.0,GSD,GG,0.7317073170731708
1415.0,TG,TS,0.9859154929577465
1416.0,TG,TS,0.989010989010989
1417.0,GG,TS,0.8450704225352114
1418.0,GSD,TS,0.0
1420.0,GSD,TS,0.0
1422.0,GG,TS,0.990990990990991
1423.0,GG,TS,0.9917355371900827
1435.0,TS,GG,0.9836065573770493
1436.0,TS,GG,0.9677419354838709
1437.0,TS,GG,0.989010989010989
1438.0,TG,GG,0.9523809523809523
1440.0,TG,TS,0.9876543209876544
1441.0,GSD,TS,0.3921568627450981
1444.0,TG,TS,0.989010989010989
1445.0,GSD,TS,0.0
1449.0,GSD,GG,0.2469135802469136
1463.0,GSD,TS,0.0
1465.0,TG,TS,0.9876543209876544
1466.0,TG,TS,0.9523809523809523
1470.0,TS,TG,0.947867298578199
1472.0,TS,TG,0.9090909090909091
1478.0,GSD,TS,0.0
1494.0,GSD,GG,0.0
1495.0,GSD,GG,0.9803921568627452
1496.0,GSD,GG,0.0
1498.0,TG,TS,0.9900990099009901
1504.0,GSD,TS,0.7920792079207921
1505.0,GSD,TS,0.0
1511.0,GG,TG,0.49586776859504134
1514.0,TS,TG,0.47619047619047616
1515.0,GSD,TG,0.7317073170731708
1517.0,GSD,GG,0.48780487804878053
1518.0,GSD,GG,0.9923664122137404
1528.0,GSD,TG,0.0
1531.0,GSD,GG,0.6557377049180328
1532.0,GSD,GG,0.49180327868852464
1536.0,TS,GG,0.14084507042253522
1538.0,TS,GG,0.9090909090909091
1542.0,GSD,GG,0.297029702970297
1543.0,TS,GG,0.7042253521126761
1564.0,GG,TS,0.7843137254901962
1565.0,TG,TS,0.990990990990991
1567.0,TG,TS,0.8450704225352114
1570.0,TS,TG,0.9836065573770493
1571.0,TS,TG,0.9090909090909091
1575.0,GG,TS,0.0
1576.0,TG,TS,0.9803921568627452
1581.0,TS,TG,0.9923664122137404
1586.0,GSD,TS,0.6451612903225806
1604.0,GSD,TG,0.9677419354838709
1607.0,GG,TS,0.9756097560975611
1608.0,GSD,TS,0.5494505494505495
1609.0,GG,TS,0.9090909090909091
1628.0,TS,GSD,0.48780487804878053
1629.0,GG,GSD,0.0
1643.0,TS,GG,0.9876543209876544
1670.0,GG,TG,0.7801418439716312
1673.0,TS,TG,0.28368794326241137
1676.0,GSD,TG,0.0
1683.0,GSD,TG,0.0
1684.0,TS,TG,0.9836065573770493
1707.0,GSD,GG,0.24390243902439027
1709.0,GSD,GG,0.3703703703703704
1713.0,GSD,TS,0.0
1715.0,TG,TS,0.9859154929577465
1720.0,GSD,TS,0.3278688524590164
1721.0,TG,TS,0.989010989010989
1723.0,TS,TG,0.9937888198757763
1725.0,GSD,TG,0.0
1737.0,GSD,TS,0.0
1739.0,GG,TS,0.7317073170731708
1740.0,GG,TS,0.0
1742.0,GSD,TS,0.0
1744.0,TS,GG,0.9803921568627452
1745.0,TS,GG,0.7843137254901962
1746.0,TG,GG,0.8910891089108911
1747.0,TS,GG,0.0
1749.0,TG,TS,0.9900990099009901
1764.0,TG,TS,0.8450704225352114
1768.0,TG,TS,0.9803921568627452
1773.0,GSD,GG,0.0
1783.0,GSD,GG,0.3225806451612903
1787.0,GSD,TS,0.0
1788.0,GSD,TS,0.9803921568627452
1789.0,GSD,TS,0.0
1793.0,GSD,GG,0.9876543209876544
1794.0,GSD,GG,0.24390243902439027
1795.0,GSD,GG,0.617283950617284
1798.0,TS,TG,0.871369294605809
1799.0,TS,TG,0.7801418439716312
1805.0,GSD,TS,0.47619047619047616
1807.0,TS,GG,0.9803921568627452
1808.0,GSD,GG,0.9677419354838709
1809.0,GSD,GG,0.1639344262295082
1814.0,TS,GG,0.6451612903225806
1815.0,TS,GG,0.297029702970297
1816.0,TS,GG,0.0
1822.0,GG,TS,0.0
1823.0,GSD,TS,0.3225806451612903
1828.0,TS,TG,0.9523809523809523
1830.0,GSD,GG,0.10989010989010989
1831.0,GSD,GG,0.9803921568627452
1847.0,GSD,GG,0.0
1852.0,GSD,GG,0.6930693069306931
1854.0,GSD,GG,0.0
1858.0,GG,TS,0.8108108108108109
1860.0,TG,TS,0.9316770186335402
1868.0,GG,TS,0.5882352941176471
1869.0,GSD,TS,0.0
1874.0,TS,TG,0.9937888198757763
1876.0,TS,TG,0.7317073170731708
1888.0,GSD,GG,0.47619047619047616
1889.0,TS,GG,0.3305785123966942
1898.0,GSD,TG,0.0
1900.0,TS,TG,0.3703703703703704
1902.0,TS,TG,0.9090909090909091
1907.0,GSD,GG,0.0
1908.0,GSD,GG,0.0
1913.0,GSD,GG,0.0
1925.0,TG,TS,0.9917355371900827
1926.0,TG,TS,0.9917355371900827
1952.0,TS,TG,0.8450704225352114
1953.0,TS,TG,0.9941520467836257
1954.0,GSD,TG,0.0
1978.0,TS,TG,0.8450704225352114
1979.0,TS,TG,0.9523809523809523
1983.0,TS,TG,0.45045045045045046
1993.0,TS,GSD,0.7317073170731708
1995.0,TG,GSD,0.9523809523809523
2005.0,TS,GG,0.989010989010989
2006.0,TS,GG,0.6451612903225806
2007.0,GSD,GG,0.0
2009.0,GSD,GG,0.9677419354838709
2010.0,GSD,GG,0.7843137254901962
2011.0,GSD,GG,0.32967032967032966
2016.0,GSD,TG,0.0
2019.0,TS,TG,0.3305785123966942
2020.0,TS,TG,0.9677419354838709
2028.0,GG,GSD,0.6557377049180328
2029.0,TS,GSD,0.0
2038.0,TS,TG,0.9756097560975611
2039.0,TS,TG,0.5494505494505495
2040.0,GSD,TG,0.0
2047.0,GSD,GG,0.6451612903225806
2048.0,GSD,GG,0.819672131147541
2051.0,GSD,GG,0.8264462809917356
2052.0,GSD,GG,0.0
2058.0,GSD,GG,0.3278688524590164
2059.0,GSD,GG,0.8450704225352114
2060.0,TG,GG,0.9803921568627452
2064.0,GSD,TG,0.8045977011494252
2069.0,GG,TS,0.5494505494505495
2071.0,GSD,TS,0.0
2074.0,TS,TG,0.8856088560885609
2075.0,TS,TG,0.9950248756218905
2076.0,GSD,TG,0.0
2081.0,GSD,TG,0.0
2083.0,GSD,GG,0.9756097560975611
2084.0,GSD,GG,0.989010989010989
2085.0,GSD,GG,0.4938271604938272
2088.0,GSD,GG,0.5882352941176471
2096.0,GSD,GG,0.9836065573770493
2097.0,GSD,GG,0.9756097560975611
2098.0,GSD,GG,0.49180327868852464
2100.0,GSD,GG,0.9090909090909091
2102.0,TS,TG,0.9424083769633507
2104.0,GSD,TG,0.0
2106.0,TS,TG,0.9090909090909091
2113.0,TG,TS,0.819672131147541
2114.0,TG,TS,0.9090909090909091
2116.0,GSD,TS,0.0
2119.0,TG,TS,0.8791208791208791
2122.0,GSD,TS,0.0
2128.0,GSD,GG,0.0
2129.0,GSD,GG,0.0
2130.0,GSD,GG,0.6557377049180328
2133.0,GSD,GG,0.21978021978021978
2134.0,GSD,GG,0.45045045045045046
2144.0,TG,GG,0.9090909090909091
2157.0,TS,GSD,0.9523809523809523
2158.0,TS,GSD,0.7843137254901962
2160.0,TS,GSD,0.0
2173.0,TS,GSD,0.0
2188.0,GSD,TS,0.0
2190.0,GSD,TS,0.5343511450381679
2211.0,GSD,GG,0.0
2218.0,GSD,GG,0.989010989010989
2231.0,GG,GSD,0.0
2250.0,GSD,GG,0.0
2258.0,GSD,TS,0.3921568627450981
2259.0,GSD,TS,0.9859154929577465
2260.0,GG,TS,0.49180327868852464
2261.0,GG,TS,0.8791208791208791
2262.0,GSD,TS,0.0
2264.0,TS,GG,0.6870229007633588
2265.0,TS,GG,0.3278688524590164
2267.0,GSD,GG,0.24390243902439027
2268.0,TS,GG,0.0
2272.0,GSD,GG,0.0
2278.0,GSD,TG,0.0
2280.0,TS,TG,0.8540925266903914
2281.0,TS,TG,0.6870229007633588
2283.0,GSD,TG,0.0
2285.0,TS,TG,0.5882352941176471
2287.0,TS,TG,0.916030534351145
2292.0,GSD,TS,0.0
2302.0,TS,GG,0.08264462809917356
2304.0,TG,GG,0.5882352941176471
2308.0,TS,TG,0.9090909090909091
2310.0,GG,TS,0.3703703703703704
2311.0,GSD,TS,0.819672131147541
2312.0,GG,TS,0.48780487804878053
2313.0,GSD,TS,0.9090909090909091
2320.0,TS,TG,0.7207207207207208
2321.0,GG,TG,0.8955223880597014
2359.0,GSD,GG,0.9836065573770493
2366.0,GSD,GG,0.9090909090909091
2367.0,GSD,GG,0.0
2368.0,GSD,GG,0.24390243902439027
2374.0,TG,GSD,0.0
2391.0,TS,TG,0.916030534351145
2400.0,TS,TG,0.9944751381215469
2402.0,TS,TG,0.7317073170731708
2419.0,TS,TG,0.7843137254901962
2424.0,GSD,TG,0.0
2437.0,TS,TG,0.9646302250803858
2445.0,TS,GSD,0.9090909090909091
2447.0,TS,GSD,0.6451612903225806
2448.0,GG,GSD,0.0
2455.0,TS,TG,0.3278688524590164
2456.0,GG,TG,0.297029702970297
2457.0,GG,TG,0.0
2463.0,TG,GG,0.9803921568627452
2476.0,TG,TS,0.8396946564885497
2484.0,GSD,GG,0.0
2486.0,TS,TG,0.9937888198757763
2488.0,GSD,TG,0.0
2495.0,TS,GG,0.9859154929577465
2496.0,TS,GG,0.2469135802469136
2499.0,GSD,GG,0.3703703703703704
2505.0,GSD,GG,0.24390243902439027
2514.0,GSD,GG,0.6557377049180328
2517.0,TS,TG,0.6382978723404256
2518.0,TS,TG,0.7903780068728522
2519.0,TS,TG,0.5633802816901409
2522.0,TS,TG,0.8264462809917356
2523.0,GSD,TG,0.0
2527.0,GSD,TG,0.8450704225352114
2537.0,GSD,GG,0.0
2539.0,TS,TG,0.9523809523809523
2540.0,TS,TG,0.9424083769633507
2562.0,TS,TG,0.9947643979057591
2588.0,GSD,TS,0.6451612903225806
2589.0,GSD,TS,0.0
2599.0,GSD,TG,0.6306306306306306
2600.0,TS,TG,0.990990990990991
2609.0,GG,GSD,0.9756097560975611
2614.0,GSD,GG,0.7843137254901962
2615.0,GSD,GG,0.8450704225352114
2618.0,TS,GG,0.7317073170731708
2637.0,GSD,TS,0.0
2645.0,TS,TG,0.04149377593360996
2649.0,TS,GG,0.989010989010989
2652.0,TS,GG,0.7843137254901962
2653.0,GSD,GG,0.9090909090909091
2658.0,GSD,TS,0.6451612903225806
2660.0,TG,TS,0.9900990099009901
2661.0,TG,TS,0.8609271523178809
2662.0,GSD,TS,0.9876543209876544
2663.0,GSD,TS,0.7042253521126761
2691.0,GG,TG,0.0
2709.0,TG,TS,0.9876543209876544
2733.0,TS,TG,0.2469135802469136
2734.0,GSD,TG,0.0
2746.0,GSD,TG,0.0
2752.0,GSD,GG,0.9876543209876544
2766.0,TS,TG,0.7692307692307693
2767.0,GG,TG,0.32967032967032966
2768.0,GSD,TG,0.0
2770.0,GG,TS,0.6593406593406593
2771.0,GSD,TS,0.45045045045045046
2772.0,GSD,TS,0.5882352941176471
2773.0,GG,TS,0.7843137254901962
2774.0,GSD,TS,0.0
2778.0,TS,TG,0.6451612903225806
2783.0,GSD,TS,0.0
2794.0,TS,TG,0.7438016528925621
2795.0,TS,TG,0.8099688473520249
2796.0,TS,TG,0.935672514619883
2798.0,TS,TG,0.8074534161490683
2800.0,GSD,TG,0.0
2818.0,GG,TG,0.0
2832.0,TS,TG,0.0
2833.0,GSD,TG,0.0
2835.0,TG,TS,0.9859154929577465
2836.0,TG,TS,0.8791208791208791
2837.0,TG,TS,0.9923664122137404
2838.0,TG,TS,0.9859154929577465
2865.0,TS,GG,0.3921568627450981
2866.0,GSD,GG,0.0
2869.0,TS,TG,0.9452736318407959
2870.0,TS,TG,0.6451612903225806
2874.0,GSD,TG,0.0
2882.0,TS,TG,0.19607843137254904
2883.0,TS,TG,0.9876543209876544
2888.0,GSD,TS,0.0
2890.0,GSD,TS,0.47619047619047616
2891.0,GSD,TS,0.3921568627450981
2892.0,TG,TS,0.9677419354838709
2893.0,GSD,TS,0.0
2896.0,TG,TS,0.9917355371900827
2898.0,GSD,TS,0.0
2911.0,TS,GG,0.0
2915.0,TS,TG,0.9090909090909091
2935.0,TS,TG,0.05847953216374269
2938.0,GSD,GG,0.3225806451612903
2939.0,GSD,GG,0.6451612903225806
2940.0,GSD,GG,0.3921568627450981
2948.0,GSD,TS,0.0
2957.0,TG,TS,0.9923664122137404
2960.0,GSD,TS,0.0
2963.0,GSD,TS,0.6930693069306931
2964.0,TG,TS,0.8396946564885497
2965.0,TG,TS,0.9836065573770493
2967.0,TS,TG,0.9004739336492891
2968.0,TS,TG,0.24793388429752067
2969.0,TS,TG,0.9090909090909091
2973.0,TS,TG,0.9090909090909091
2978.0,GSD,TG,0.15267175572519084
2979.0,GSD,TG,0.0
2982.0,GG,TS,0.7920792079207921
